ID,ISDELETED,NAME,CURRENCYISOCODE,ZQU__ZUORAID__C,ZQU__BILLINGENTITY__C
a0t1r000008F3cjAAC,FALSE,GMBH Property Template (August 2017),USD,2c92a0fc5df4775f015e092df3c755be,
a0t1r000008F3ceAAC,FALSE,US Property Template (August 2017),USD,2c92a0fe5df4774f015e092eba62266e,
