"ID","OWNERID","ISDELETED","NAME","CURRENCYISOCODE","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","ZQU__CURRENCY__C","ZQU__DELETED__C","ZQU__DISCOUNT__C","ZQU__EFFECTIVE_PRICE__C","ZQU__ENDINGUNIT__C","ZQU__ISOVERAGEPRICE__C","ZQU__PRICEFORMAT__C","ZQU__PRICE__C","ZQU__PRODUCTRATEPLANCHARGEID__C","ZQU__QUOTECHARGE__C","ZQU__QUOTERATEPLANCHARGE__C","ZQU__RATEPLANCHARGE__C","ZQU__STARTINGUNIT__C","ZQU__TIER__C","ZQU__ZUORAID__C","ZQU__SUBSCRIPTIONCHARGETIERZUORAID__C"
"a141r00000ApwsTAAR","0051r000008p4kxAAA","false","1","USD","2019-11-04T22:13:26.000Z","0051r000008p4kxAAA","2019-12-06T14:50:36.000Z","005w0000005KsuWAAS","2019-12-06T14:50:36.000Z","","false","0.0","0.0","7000.0","false","Flat Fee","0.0","","","a171r00000Oi9efAAB","a101r00000Atv81AAB","0.0","1.0","",""
"a141r00000ApwsUAAR","0051r000008p4kxAAA","false","2","USD","2019-11-04T22:13:26.000Z","0051r000008p4kxAAA","2019-12-06T14:50:36.000Z","005w0000005KsuWAAS","2019-12-06T14:50:36.000Z","","false","0.0","0.005","","false","Per Unit","0.005","","","a171r00000Oi9efAAB","a101r00000Atv81AAB","7000.001","2.0","",""
"a141r00000ApwsVAAR","0051r000008p4kxAAA","false","1","USD","2019-11-04T22:13:26.000Z","0051r000008p4kxAAA","2019-12-06T14:50:36.000Z","005w0000005KsuWAAS","2019-12-06T14:50:36.000Z","","false","0.0","0.0","2000.0","false","Flat Fee","0.0","","","a171r00000Oi9egAAB","a101r00000Atv83AAB","0.0","1.0","",""
"a141r00000ApwsWAAR","0051r000008p4kxAAA","false","2","USD","2019-11-04T22:13:26.000Z","0051r000008p4kxAAA","2019-12-06T14:50:36.000Z","005w0000005KsuWAAS","2019-12-06T14:50:36.000Z","","false","0.0","0.065","","false","Per Unit","0.065","","","a171r00000Oi9egAAB","a101r00000Atv83AAB","2001.0","2.0","",""
"a141r00000ApwsXAAR","0051r000008p4kxAAA","false","1","USD","2019-11-04T22:13:26.000Z","0051r000008p4kxAAA","2019-12-06T14:50:36.000Z","005w0000005KsuWAAS","2019-12-06T14:50:36.000Z","","false","0.0","0.0","10.0","false","Flat Fee","0.0","","","a171r00000Oi9esAAB","a101r00000Atv82AAB","0.0","1.0","",""
"a141r00000ApwsYAAR","0051r000008p4kxAAA","false","2","USD","2019-11-04T22:13:26.000Z","0051r000008p4kxAAA","2019-12-06T14:50:36.000Z","005w0000005KsuWAAS","2019-12-06T14:50:36.000Z","","false","0.0","15.0","","false","Per Unit","15.0","","","a171r00000Oi9esAAB","a101r00000Atv82AAB","11.0","2.0","",""
